[2025-01-23 14:25:29,729][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-23 14:25:29,729][INFO] params["in_chans"]=[200, 16] python run_model.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-23 14:25:29,729][INFO] params["dims"]=[512, 512] 温度参数为0.55
[2025-01-23 14:25:29,729][INFO] params["out_chans"]=[16, 8]
[2025-01-23 14:25:29,729][INFO] params["heads"]=[8, 4]
[2025-01-23 14:25:29,731][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-01-23 14:57:30,455][INFO] Epoch[14/80], train AUC: 0.9158(0.8686-0.9497), test AUC: 0.7791(0.6674-0.8711)
[2025-01-23 14:59:38,808][INFO] Epoch[15/80], loss:1.6196, CE loss:0.4904, info NCE loss:1.1292
[2025-01-23 14:59:38,808][INFO] Epoch[15/80], train B-acc: 0.6056(0.5469-0.6744), test B-acc: 0.5469(0.5000-0.6061)
[2025-01-23 14:59:38,808][INFO] Epoch[15/80], train AUC: 0.9197(0.8785-0.9541), test AUC: 0.7843(0.6747-0.8799)
[2025-01-23 15:01:46,318][INFO] Epoch[16/80], loss:1.6152, CE loss:0.4877, info NCE loss:1.1275
[2025-01-23 15:01:46,318][INFO] Epoch[16/80], train B-acc: 0.6151(0.5546-0.6846), test B-acc: 0.5603(0.5026-0.6276)
[2025-01-23 15:01:46,318][INFO] Epoch[16/80], train AUC: 0.9268(0.8857-0.9600), test AUC: 0.7873(0.6824-0.8817)
[2025-01-23 15:03:55,273][INFO] Epoch[17/80], loss:1.6112, CE loss:0.4851, info NCE loss:1.1261
[2025-01-23 15:03:55,273][INFO] Epoch[17/80], train B-acc: 0.6153(0.5553-0.6812), test B-acc: 0.5758(0.5117-0.6478)
[2025-01-23 15:03:55,273][INFO] Epoch[17/80], train AUC: 0.9348(0.8970-0.9648), test AUC: 0.7945(0.6869-0.8821)
[2025-01-23 15:06:04,889][INFO] Epoch[18/80], loss:1.6073, CE loss:0.4824, info NCE loss:1.1249
[2025-01-23 15:06:04,890][INFO] Epoch[18/80], train B-acc: 0.6310(0.5620-0.7050), test B-acc: 0.5769(0.5151-0.6471)
[2025-01-23 15:06:04,890][INFO] Epoch[18/80], train AUC: 0.9394(0.8991-0.9684), test AUC: 0.7974(0.6906-0.8847)
[2025-01-23 15:08:13,095][INFO] Epoch[19/80], loss:1.6045, CE loss:0.4806, info NCE loss:1.1238
[2025-01-23 15:08:13,095][INFO] Epoch[19/80], train B-acc: 0.6522(0.5790-0.7277), test B-acc: 0.5865(0.5120-0.6643)
[2025-01-23 15:08:13,095][INFO] Epoch[19/80], train AUC: 0.9428(0.9070-0.9721), test AUC: 0.7987(0.6933-0.8888)
[2025-01-23 15:10:20,561][INFO] Epoch[20/80], loss:1.6007, CE loss:0.4777, info NCE loss:1.1231
[2025-01-23 15:10:20,561][INFO] Epoch[20/80], train B-acc: 0.6423(0.5708-0.7117), test B-acc: 0.5921(0.5270-0.6671)
[2025-01-23 15:10:20,562][INFO] Epoch[20/80], train AUC: 0.9455(0.9084-0.9735), test AUC: 0.7954(0.6936-0.8835)
[2025-01-23 15:12:28,523][INFO] Epoch[21/80], loss:1.5973, CE loss:0.4752, info NCE loss:1.1221
[2025-01-23 15:12:28,523][INFO] Epoch[21/80], train B-acc: 0.6787(0.6068-0.7505), test B-acc: 0.5855(0.5191-0.6631)
[2025-01-23 15:12:28,523][INFO] Epoch[21/80], train AUC: 0.9489(0.9164-0.9752), test AUC: 0.7945(0.6962-0.8858)
[2025-01-23 15:14:36,444][INFO] Epoch[22/80], loss:1.5947, CE loss:0.4733, info NCE loss:1.1214
[2025-01-23 15:14:36,444][INFO] Epoch[22/80], train B-acc: 0.6909(0.6163-0.7701), test B-acc: 0.5782(0.5072-0.6486)
[2025-01-23 15:14:36,444][INFO] Epoch[22/80], train AUC: 0.9539(0.9202-0.9784), test AUC: 0.7998(0.7001-0.8878)
[2025-01-23 15:16:44,380][INFO] Epoch[23/80], loss:1.5913, CE loss:0.4708, info NCE loss:1.1205
