[2025-01-23 17:20:06,149][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-23 17:20:06,150][INFO] params["in_chans"]=[200, 16] python run_model0.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-23 17:20:06,150][INFO] params["dims"]=[512, 512]温度参数为0.55
[2025-01-23 17:20:06,150][INFO] params["out_chans"]=[16, 8]
[2025-01-23 17:20:06,150][INFO] params["heads"]=[8, 4]
[2025-01-23 17:46:34,959][INFO] Epoch[15/80], train AUC: 0.9115(0.8643-0.9489), test AUC: 0.7811(0.6726-0.8743)
[2025-01-23 17:48:20,699][INFO] Epoch[16/80], loss:0.4928, CE loss:0.4928
[2025-01-23 17:48:20,700][INFO] Epoch[16/80], train B-acc: 0.6012(0.5448-0.6678), test B-acc: 0.5484(0.5000-0.6094)
[2025-01-23 17:48:20,700][INFO] Epoch[16/80], train AUC: 0.9180(0.8736-0.9521), test AUC: 0.7875(0.6784-0.8739)
[2025-01-23 17:50:06,042][INFO] Epoch[17/80], loss:0.4899, CE loss:0.4899
[2025-01-23 17:50:06,044][INFO] Epoch[17/80], train B-acc: 0.6035(0.5488-0.6723), test B-acc: 0.5469(0.5000-0.6111)
[2025-01-23 17:50:06,044][INFO] Epoch[17/80], train AUC: 0.9222(0.8833-0.9552), test AUC: 0.7879(0.6775-0.8779)
[2025-01-23 17:51:52,221][INFO] Epoch[18/80], loss:0.4876, CE loss:0.4876
[2025-01-23 17:51:52,222][INFO] Epoch[18/80], train B-acc: 0.6154(0.5530-0.6875), test B-acc: 0.5429(0.4942-0.6050)
[2025-01-23 17:51:52,222][INFO] Epoch[18/80], train AUC: 0.9261(0.8871-0.9598), test AUC: 0.7903(0.6806-0.8850)
[2025-01-23 17:53:40,172][INFO] Epoch[19/80], loss:0.4852, CE loss:0.4852
[2025-01-23 17:53:40,173][INFO] Epoch[19/80], train B-acc: 0.6154(0.5541-0.6891), test B-acc: 0.5581(0.5012-0.6298)
[2025-01-23 17:53:40,173][INFO] Epoch[19/80], train AUC: 0.9323(0.8924-0.9635), test AUC: 0.7945(0.6895-0.8805)
[2025-01-23 17:55:27,317][INFO] Epoch[20/80], loss:0.4833, CE loss:0.4833
[2025-01-23 17:55:27,317][INFO] Epoch[20/80], train B-acc: 0.6177(0.5538-0.6882), test B-acc: 0.5412(0.4938-0.6025)
[2025-01-23 17:55:27,317][INFO] Epoch[20/80], train AUC: 0.9361(0.8993-0.9650), test AUC: 0.7976(0.6830-0.8888)
[2025-01-23 17:57:14,290][INFO] Epoch[21/80], loss:0.4810, CE loss:0.4810
[2025-01-23 17:57:14,290][INFO] Epoch[21/80], train B-acc: 0.6278(0.5651-0.7003), test B-acc: 0.5536(0.4985-0.6276)
[2025-01-23 17:57:14,292][INFO] Epoch[21/80], train AUC: 0.9399(0.9057-0.9683), test AUC: 0.7955(0.6920-0.8812)
[2025-01-23 17:59:05,713][INFO] Epoch[22/80], loss:0.4791, CE loss:0.4791
[2025-01-23 17:59:05,713][INFO] Epoch[22/80], train B-acc: 0.6881(0.6176-0.7663), test B-acc: 0.5865(0.5170-0.6622)
[2025-01-23 17:59:05,713][INFO] Epoch[22/80], train AUC: 0.9437(0.9076-0.9716), test AUC: 0.7967(0.6946-0.8874)
[2025-01-23 18:01:03,227][INFO] Epoch[23/80], loss:0.4772, CE loss:0.4772
[2025-01-23 18:01:03,227][INFO] Epoch[23/80], train B-acc: 0.6915(0.6156-0.7723), test B-acc: 0.5843(0.5187-0.6654)
[2025-01-23 18:01:03,227][INFO] Epoch[23/80], train AUC: 0.9466(0.9095-0.9731), test AUC: 0.7996(0.6942-0.8892)
[2025-01-23 18:03:03,163][INFO] Epoch[24/80], loss:0.4753, CE loss:0.4753
[2025-01-23 18:03:03,163][INFO] Epoch[24/80], train B-acc: 0.6900(0.6163-0.7662), test B-acc: 0.5811(0.5171-0.6646)
[2025-01-23 18:03:03,163][INFO] Epoch[24/80], train AUC: 0.9499(0.9157-0.9740), test AUC: 0.7945(0.6936-0.8772)
[2025-01-23 18:04:54,159][INFO] Epoch[25/80], loss:0.4734, CE loss:0.4734
[2025-01-23 18:04:54,159][INFO] Epoch[25/80], train B-acc: 0.6911(0.6083-0.7736), test B-acc: 0.5863(0.5158-0.6643)
[2025-01-23 18:04:54,160][INFO] Epoch[25/80], train AUC: 0.9524(0.9174-0.9753), test AUC: 0.7975(0.6871-0.8919)
[2025-01-23 18:06:42,596][INFO] Epoch[26/80], loss:0.4717, CE loss:0.4717
[2025-01-23 18:06:42,597][INFO] Epoch[26/80], train B-acc: 0.6889(0.6122-0.7609), test B-acc: 0.5843(0.5183-0.6694)
[2025-01-23 18:06:42,597][INFO] Epoch[26/80], train AUC: 0.9537(0.9254-0.9772), test AUC: 0.7967(0.6954-0.8897)
[2025-01-23 18:08:31,641][INFO] Epoch[27/80], loss:0.4702, CE loss:0.4702
[2025-01-23 18:08:31,641][INFO] Epoch[27/80], train B-acc: 0.7030(0.6267-0.7791), test B-acc: 0.5851(0.5209-0.6669)
[2025-01-23 18:08:31,641][INFO] Epoch[27/80], train AUC: 0.9568(0.9299-0.9788), test AUC: 0.7971(0.6972-0.8857)
[2025-01-23 18:10:18,889][INFO] Epoch[28/80], loss:0.4687, CE loss:0.4687
[2025-01-23 18:10:18,889][INFO] Epoch[28/80], train B-acc: 0.7839(0.7135-0.8588), test B-acc: 0.5949(0.5225-0.6834)
[2025-01-23 18:10:18,889][INFO] Epoch[28/80], train AUC: 0.9578(0.9307-0.9780), test AUC: 0.7983(0.6992-0.8874)
