[2025-02-07 18:53:26,462][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 40, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.5
[2025-02-07 18:53:26,463][INFO] params["in_chans"]=[200, 16]
[2025-02-07 18:53:26,463][INFO] params["dims"]=[512, 512]
[2025-02-07 18:53:26,463][INFO] params["out_chans"]=[16, 8]
[2025-02-07 18:53:26,463][INFO] params["heads"]=[8, 4]
[2025-02-07 18:53:26,464][INFO] params["dropout"]=[0.8, 0.4, 0.4]
[2025-02-07 18:55:48,055][INFO] Epoch[1/40], loss:0.6561, CE loss:0.6561
[2025-02-07 18:55:48,055][INFO] Epoch[1/40], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-02-07 18:55:48,055][INFO] Epoch[1/40], train AUC: 0.4705(0.3798-0.5714), test AUC: 0.5454(0.4133-0.6794)
[2025-02-07 18:58:09,552][INFO] Epoch[2/40], loss:0.6331, CE loss:0.6331
[2025-02-07 18:58:09,553][INFO] Epoch[2/40], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-02-07 18:58:09,553][INFO] Epoch[2/40], train AUC: 0.6635(0.5671-0.7553), test AUC: 0.6478(0.5249-0.7591)
[2025-02-07 19:00:41,627][INFO] Epoch[3/40], loss:0.6266, CE loss:0.6266
[2025-02-07 19:00:41,627][INFO] Epoch[3/40], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.5000(0.5000-0.5000)
[2025-02-07 19:00:41,628][INFO] Epoch[3/40], train AUC: 0.7407(0.6529-0.8182), test AUC: 0.7063(0.5930-0.8153)
[2025-02-07 19:03:26,496][INFO] Epoch[4/40], loss:0.6232, CE loss:0.6232
[2025-02-07 19:03:26,496][INFO] Epoch[4/40], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.4938(0.4805-0.5000)
[2025-02-07 19:03:26,496][INFO] Epoch[4/40], train AUC: 0.7806(0.7062-0.8529), test AUC: 0.7256(0.6021-0.8275)
[2025-02-07 19:05:55,136][INFO] Epoch[5/40], loss:0.6207, CE loss:0.6207
[2025-02-07 19:05:55,137][INFO] Epoch[5/40], train B-acc: 0.5000(0.5000-0.5000), test B-acc: 0.4938(0.4805-0.5000)
[2025-02-07 19:05:55,137][INFO] Epoch[5/40], train AUC: 0.8051(0.7257-0.8727), test AUC: 0.7376(0.6238-0.8360)
[2025-02-07 19:08:14,293][INFO] Epoch[6/40], loss:0.6187, CE loss:0.6187
[2025-02-07 19:08:14,293][INFO] Epoch[6/40], train B-acc: 0.5094(0.4938-0.5423), test B-acc: 0.4938(0.4792-0.5000)
[2025-02-07 19:08:14,293][INFO] Epoch[6/40], train AUC: 0.8254(0.7559-0.8875), test AUC: 0.7538(0.6335-0.8586)
[2025-02-07 19:10:42,298][INFO] Epoch[7/40], loss:0.6172, CE loss:0.6172
[2025-02-07 19:10:42,298][INFO] Epoch[7/40], train B-acc: 0.5217(0.4958-0.5625), test B-acc: 0.4938(0.4805-0.5000)
[2025-02-07 19:10:42,298][INFO] Epoch[7/40], train AUC: 0.8437(0.7759-0.9026), test AUC: 0.7698(0.6578-0.8647)
[2025-02-07 19:12:52,706][INFO] Epoch[8/40], loss:0.6156, CE loss:0.6156
