[2025-01-21 19:50:58,405][INFO] Running PROJECT: CRC-KR, P LEARNING RATE: 0.0001, OPTIMIZER: ADAMW, NUM EPOCHS: 80, BATCH SIZE: 2048, DEVICES: cuda, SMOOTHING: 0.25
[2025-01-21 19:50:58,407][INFO] params["in_chans"]=[200, 16]python run_model0.py --proj CRC-KR --num_epochs 80 --plr 1e-4  --smoothing 0.25
[2025-01-21 19:50:58,407][INFO] params["dims"]=[512, 512]  温度参数为0.6
[2025-01-21 19:50:58,407][INFO] params["out_chans"]=[16, 8]
[2025-01-21 19:50:58,407][INFO] params["heads"]=[8, 4]
[2025-01-21 20:24:41,573][INFO] Epoch[15/80], train AUC: 0.9282(0.8917-0.9600), test AUC: 0.7929(0.6745-0.8726)
[2025-01-21 20:26:40,887][INFO] Epoch[16/80], loss:0.4835, CE loss:0.4835
[2025-01-21 20:26:40,887][INFO] Epoch[16/80], train B-acc: 0.6528(0.5838-0.7317), test B-acc: 0.5679(0.5065-0.6481)
[2025-01-21 20:26:40,887][INFO] Epoch[16/80], train AUC: 0.9330(0.8972-0.9618), test AUC: 0.7866(0.6798-0.8824)
[2025-01-21 20:28:37,182][INFO] Epoch[17/80], loss:0.4813, CE loss:0.4813
[2025-01-21 20:28:37,182][INFO] Epoch[17/80], train B-acc: 0.6765(0.6042-0.7566), test B-acc: 0.5976(0.5207-0.6871)
[2025-01-21 20:28:37,183][INFO] Epoch[17/80], train AUC: 0.9394(0.9037-0.9659), test AUC: 0.7924(0.6765-0.8810)
[2025-01-21 20:30:34,703][INFO] Epoch[18/80], loss:0.4786, CE loss:0.4786
[2025-01-21 20:30:34,704][INFO] Epoch[18/80], train B-acc: 0.6765(0.6049-0.7606), test B-acc: 0.5976(0.5234-0.6790)
[2025-01-21 20:30:34,704][INFO] Epoch[18/80], train AUC: 0.9428(0.9074-0.9724), test AUC: 0.7987(0.6931-0.8784)
[2025-01-21 20:32:34,422][INFO] Epoch[19/80], loss:0.4763, CE loss:0.4763
[2025-01-21 20:32:34,422][INFO] Epoch[19/80], train B-acc: 0.6932(0.6184-0.7721), test B-acc: 0.5957(0.5241-0.6786)
[2025-01-21 20:32:34,423][INFO] Epoch[19/80], train AUC: 0.9470(0.9130-0.9744), test AUC: 0.7941(0.6966-0.8824)
[2025-01-21 20:34:34,357][INFO] Epoch[20/80], loss:0.4742, CE loss:0.4742
[2025-01-21 20:34:34,357][INFO] Epoch[20/80], train B-acc: 0.7346(0.6586-0.8132), test B-acc: 0.5883(0.5172-0.6698)
[2025-01-21 20:34:34,357][INFO] Epoch[20/80], train AUC: 0.9499(0.9150-0.9750), test AUC: 0.7970(0.6953-0.8864)
[2025-01-21 20:36:34,297][INFO] Epoch[21/80], loss:0.4720, CE loss:0.4720
[2025-01-21 20:36:34,297][INFO] Epoch[21/80], train B-acc: 0.7378(0.6653-0.8121), test B-acc: 0.5962(0.5213-0.6873)
[2025-01-21 20:36:34,297][INFO] Epoch[21/80], train AUC: 0.9544(0.9240-0.9765), test AUC: 0.8038(0.6950-0.8864)
[2025-01-21 20:38:49,961][INFO] Epoch[22/80], loss:0.4704, CE loss:0.4704
[2025-01-21 20:38:49,961][INFO] Epoch[22/80], train B-acc: 0.7394(0.6601-0.8119), test B-acc: 0.5937(0.5261-0.6743)
[2025-01-21 20:38:49,961][INFO] Epoch[22/80], train AUC: 0.9572(0.9276-0.9799), test AUC: 0.8000(0.7010-0.8868)
[2025-01-21 20:40:41,907][INFO] Epoch[23/80], loss:0.4686, CE loss:0.4686
[2025-01-21 20:40:41,908][INFO] Epoch[23/80], train B-acc: 0.7458(0.6690-0.8273), test B-acc: 0.5906(0.5144-0.6745)
[2025-01-21 20:40:41,908][INFO] Epoch[23/80], train AUC: 0.9590(0.9322-0.9814), test AUC: 0.8021(0.7011-0.8888)
[2025-01-21 20:42:38,993][INFO] Epoch[24/80], loss:0.4662, CE loss:0.4662
[2025-01-21 20:42:38,993][INFO] Epoch[24/80], train B-acc: 0.7467(0.6660-0.8206), test B-acc: 0.5897(0.5175-0.6779)
[2025-01-21 20:42:38,993][INFO] Epoch[24/80], train AUC: 0.9627(0.9346-0.9810), test AUC: 0.8038(0.7076-0.8907)
[2025-01-21 20:44:38,740][INFO] Epoch[25/80], loss:0.4654, CE loss:0.4654
[2025-01-21 20:44:38,740][INFO] Epoch[25/80], train B-acc: 0.7505(0.6724-0.8235), test B-acc: 0.5956(0.5220-0.6821)
[2025-01-21 20:44:38,741][INFO] Epoch[25/80], train AUC: 0.9639(0.9360-0.9826), test AUC: 0.8071(0.7043-0.8829)
[2025-01-21 20:47:23,880][INFO] Epoch[26/80], loss:0.4639, CE loss:0.4639
[2025-01-21 20:47:23,881][INFO] Epoch[26/80], train B-acc: 0.8309(0.7599-0.9006), test B-acc: 0.6094(0.5281-0.7097)
[2025-01-21 20:47:23,881][INFO] Epoch[26/80], train AUC: 0.9662(0.9378-0.9846), test AUC: 0.8041(0.7025-0.8898)
[2025-01-21 20:50:07,093][INFO] Epoch[27/80], loss:0.4619, CE loss:0.4619
